staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,2,10.0,0.03541229999973439,,0.018778899999233545,0.03541229999973439,0.5005582999992839,0.5005582999992839,0.5510492999992493,0.8009503999992376,1.160128900000018,left,-10.0,1,1,0.6489593999995122,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
1,2,8.0,1.1668950999992376,,1.1604850999992777,1.1668950999992376,1.6663373999999749,1.6663373999999749,1.6663373999999749,1.966267899999366,1.9841463999991902,right,8.0,1,1,0.30426249999982247,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
2,2,6.0,1.999525299999732,,1.9844475999998394,1.999525299999732,2.4994652999994287,2.4994652999994287,2.4994652999994287,2.7987364999999045,2.9832226999997147,left,-6.0,1,1,0.48273819999940315,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
3,2,4.0,2.9985460999996576,,2.9835214999993696,2.9985460999996576,3.4983494999996765,3.4983494999996765,3.4983494999996765,3.798033299999588,3.9149384999991526,left,-4.0,1,1,0.41169919999993,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
4,1,2.0,3.931018799999947,,3.9152369999992516,3.931018799999947,4.430328299999928,4.430328299999928,4.430328299999928,4.7303837999997995,4.897305899999992,right,2.0,0,0,0.46593899999970745,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
5,1,3.0,4.913283499999125,,4.89762139999948,4.913283499999125,5.41320529999939,5.41320529999939,5.41320529999939,5.71250929999951,6.1297882999997455,right,3.0,1,1,0.7049315000003844,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
6,1,3.0,6.145173599999907,,6.130097199999909,6.145173599999907,6.645071699999789,6.645071699999789,6.645071699999789,6.944932399999743,7.161603399999876,left,-3.0,1,1,0.5052525000000969,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
7,1,3.0,7.177837699999145,,7.161914199999956,7.177837699999145,7.660529199999473,7.660529199999473,7.677585699999327,7.9601143999998385,8.044166599999699,right,3.0,1,1,0.3754816999999093,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
8,1,2.0,8.06021199999941,,8.044488300000012,8.06021199999941,8.543339500000002,8.543339500000002,8.5599758999997,8.84252849999939,9.059632199999214,left,-2.0,1,1,0.5145673000006354,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
9,1,2.0,9.075965799999722,,9.059936699999525,9.075965799999722,9.575064999999995,9.575064999999995,9.575064999999995,9.875290399999358,9.975689699999748,right,2.0,1,1,0.3950815000007424,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
10,1,2.0,9.991577799999504,,9.975981699999465,9.991577799999504,10.474800799999684,10.474800799999684,10.491106199999194,10.774050399999396,10.808141499999692,left,-2.0,1,1,0.3252886000000217,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
11,1,1.0,10.824120899999798,,10.808458199999222,10.824120899999798,11.307262599999376,11.307262599999376,11.32388919999994,11.606984499999271,11.807375899999897,left,-1.0,1,1,0.4924240999998801,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
12,0.5,1.0,11.823067199999969,,11.807688899999448,11.823067199999969,12.322936799999297,12.322936799999297,12.322936799999297,12.622255099999165,12.872981599999548,right,1.0,0,0,0.5360483999993448,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
13,0.5,1.5,12.888718399999561,,12.873300699999163,12.888718399999561,13.371962799999892,13.371962799999892,13.387899999999718,13.67162929999995,13.755887999999686,right,1.5,1,1,0.3768505999996705,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
14,0.5,1.5,13.771158799999284,,13.75618779999968,13.771158799999284,14.27100959999916,14.27100959999916,14.27100959999916,14.570358299999498,14.787607399999615,right,1.5,1,1,0.49986530000023777,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
15,0.5,1.5,14.803966799999216,,14.787915999999313,14.803966799999216,15.2866254999999,15.2866254999999,15.30334049999965,15.586326499999814,15.653294499999902,left,-1.5,0,0,0.3617315999999846,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
16,0.5,2.0,15.669275999999627,,15.65361329999996,15.669275999999627,16.169122699999207,16.169122699999207,16.169122699999207,16.468544599999404,16.71907679999913,right,2.0,1,1,0.5344507999998314,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
17,0.5,2.0,16.734920399999282,,16.719389699999738,16.734920399999282,17.234046899999157,17.234046899999157,17.234046899999157,17.534103399999367,17.66785709999931,right,2.0,0,0,0.43043500000021595,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
18,0.5,2.5,17.684018599999945,,17.668168699999114,17.684018599999945,18.167097299999114,18.167097299999114,18.183486199999606,18.46656229999917,18.7834043999992,left,-2.5,0,0,0.612235800000235,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
19,0.5,3.0,18.799540299999535,,18.783720799999173,18.799540299999535,19.282653699999173,19.282653699999173,19.298932999999124,19.581933099999333,19.59961519999979,left,-3.0,1,1,0.30347600000004604,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
20,0.5,3.0,19.615447700000004,,19.599908799999866,19.615447700000004,20.114744499999688,20.114744499999688,20.114744499999688,,20.33234049999919,left,-3.0,0,0,0.20987370000057126,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
21,0.5,3.5,20.34801040000002,,20.332653699999355,20.34801040000002,20.847397399999863,20.847397399999863,20.847397399999863,21.147642999999334,21.131061999999474,left,-3.5,1,1,0.2672381000002133,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
22,0.5,3.5,21.147642999999334,,21.13134759999957,21.147642999999334,21.646429599999465,21.646429599999465,21.663098600000012,21.94609229999969,22.31251389999943,left,-3.5,1,1,0.6533042999999452,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
23,0.5,3.5,22.32886789999975,,22.312674799999513,22.32886789999975,22.812682299999324,22.812682299999324,22.829261299999416,23.111759299999903,23.495592599999327,left,-3.5,0,0,0.681766400000015,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
24,0.5,4.0,23.511538599999767,,23.49590199999966,23.511538599999767,24.011333399999785,24.011333399999785,24.011333399999785,24.311091799999303,24.56083479999961,right,4.0,1,1,0.5402114999997139,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
25,0.5,4.0,24.577192799999466,,24.561127699999815,24.577192799999466,25.060267199999544,25.060267199999544,25.076936799999203,25.35950529999991,25.476642899999206,right,4.0,1,1,0.4095757999994021,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
26,0.5,4.0,25.49288009999964,,25.47693199999958,25.49288009999964,25.976217199999155,25.976217199999155,25.992722299999514,26.275722699999278,26.359099499999502,left,-4.0,1,1,0.3802202999995643,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
27,0.5,3.5,26.375508599999193,,26.359394999999495,26.375508599999193,26.85846819999915,26.85846819999915,26.87512179999976,27.158134999999675,27.241652699999577,right,3.5,1,1,0.3811267000000953,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
28,0.5,3.5,27.257954199999403,,27.241946299999654,27.257954199999403,27.740925599999173,27.740925599999173,27.757427300000018,28.040672599999198,28.391033399999287,right,3.5,1,1,0.633119799999804,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
29,0.5,3.5,28.406753399999616,,28.39134269999977,28.406753399999616,28.906161999999313,28.906161999999313,28.906161999999313,29.20615859999998,29.439976799999386,right,3.5,1,1,0.5205205000002024,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
30,0.5,3.0,29.455667899999753,,29.440291899999465,29.455667899999753,29.955377899999803,29.955377899999803,29.955377899999803,30.25475119999919,30.588451599999644,right,3.0,0,0,0.6289061000006768,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
31,0.5,3.5,30.604820199999267,,30.588767699999153,30.604820199999267,31.08770199999981,31.08770199999981,31.103912299999138,31.38729719999992,31.521268499999678,left,-3.5,0,0,0.43180740000025253,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
32,0.5,4.0,31.536976699999286,,31.52156919999925,31.536976699999286,32.03663349999988,32.03663349999988,32.03663349999988,32.33632999999918,32.63656699999956,right,4.0,0,0,0.5934976999997161,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
