trial,lag,T1_pos,T2_pos,thisN,thisTrialN,thisRepN,T1_target,T2_target,textbox1.text,textbox2.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,trial.stopped,rsvp.started,stream_text.started,rsvp.stopped,trials.T1_target,trials.T2_target,response.started,text.started,textbox1.started,textbox2.started,text.stopped,button.started,response.stopped,trials.textbox1.text,trials.textbox2.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,fixation.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
1,2,4,6,0,0,0,7,8,7,8,1,[4.128098599961959],[4.128113899962045],0,0,0,0,0.0576955,,0.0392337,0.0576955,0.5083666,0.5084855,0.5402583,1.9237926,7,8,1.9255352,1.9404746,2.7568251,2.7568251,2.787892,2.8729654,7.0017024,7,8,1,[4.128098599961959],[4.128113899962045],,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
2,3,4,7,1,1,0,9,9,9,6,1,[3.98247240006458],[3.9824826000258327],0,1,1,1,7.0186593,,7.0022809,7.0186593,7.5017135,7.5018315,7.5179822,8.9339523,9,9,8.93499,8.9495416,9.7639758,9.7639758,9.7981651,9.8810027,13.8639168,9,6,1,[3.98247240006458],[3.9824826000258327],7.5179822,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
3,5,4,9,2,2,0,3,2,3,2,1,[4.912492799921893],[4.9125081999227405],0,2,2,2,13.8783538,,13.8642738,13.8783538,14.3617413,14.3618624,14.3778552,15.793775,3,2,15.7947285,15.8093305,16.62375,16.62375,16.62375,16.7240648,21.6371407,3,2,1,[4.912492799921893],[4.9125081999227405],14.3778552,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
4,8,4,12,3,3,0,9,2,9,2,1,[4.1962913000024855],[4.196306900004856],0,3,3,3,21.6540826,,21.6376418,21.6540826,22.13726,22.1373817,22.15352,23.5686358,9,2,23.5696418,23.5849771,24.4000827,24.4000827,24.4326663,24.4999452,28.6968222,9,2,1,[4.1962913000024855],[4.196306900004856],22.15352,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
5,2,5,7,4,4,0,8,3,8,3,1,[4.197397000039928],[4.197413199930452],0,4,4,4,28.7132811,,28.6973271,28.7132811,29.1968505,29.1969704,29.2129414,30.6292222,8,3,30.6301776,30.645278,31.4757965,31.4757965,31.5096049,31.5929402,35.7909391,8,3,1,[4.197397000039928],[4.197413199930452],29.2129414,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
6,3,5,8,5,5,0,9,9,9,8,1,[4.114605100010522],[4.114623299916275],0,5,5,5,35.8062887,,35.7914322,35.8062887,36.2898825,36.2899972,36.3065305,37.7224013,9,9,37.723362,37.7383552,38.5523057,38.5523057,38.585419,38.6522342,42.7674457,9,8,1,[4.114605100010522],[4.114623299916275],36.3065305,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
7,5,5,10,6,6,0,3,7,3,7,1,[5.295781700056978],[5.29579779994674],0,6,6,6,42.7825804,,42.7679412,42.7825804,43.2663211,43.2664322,43.2824203,44.6976815,3,7,44.6986402,44.714368,45.5285627,45.5285627,45.5621902,45.6282765,50.9247825,3,7,1,[5.295781700056978],[5.29579779994674],43.2824203,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
8,8,5,13,7,7,0,2,6,2,6,1,[4.096653699991293],[4.096664099954069],0,7,7,7,50.9417075,,50.9252877,50.9417075,51.4247618,51.4248824,51.4415322,52.8566974,2,6,52.8576422,52.872584,53.6869432,53.6869432,53.6869432,53.8037111,57.900823,2,6,1,[4.096653699991293],[4.096664099954069],51.4415322,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
1,2,4,6,8,0,1,8,3,8,9,1,[5.062713799998164],[5.062734199920669],1,0,8,0,57.9174734,,57.9011909,57.9174734,58.4018321,58.4019589,58.4172358,59.8331495,8,3,59.8340911,59.8493351,60.6636996,60.6636996,60.6971071,60.7800165,65.8433475,8,9,1,[5.062713799998164],[5.062734199920669],,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
2,3,4,7,9,1,1,3,9,8,9,1,[4.397366599994712],[4.397382600000128],1,1,9,1,65.859551,,65.8438474,65.859551,66.3430004,66.3431138,66.3595844,67.7755582,3,9,67.7765124,67.7916122,68.6062097,68.6062097,68.6387244,68.7222004,73.1201793,8,9,1,[4.397366599994712],[4.397382600000128],66.3595844,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
