reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
78,80,162,0,0,0,t,2.2789345998317003,None,0,0,0,6,0.1233343998901546,,0.09081199998036027,0.1233343998901546,1.0073420000262558,1.0073420000262558,1.1253916998393834,3.2999727996066213,t,2.2789345998317003,None,p1,001,2025-10-16_09h54.31.793,delay discounting task,,2025.1.1,59.9117380528947,2025-10-16 09h54.39.551138 +0530,
40,55,62,1,1,0,l,2.586063399910927,None,0,1,1,3,3.3201365997083485,,3.31149709969759,3.3201365997083485,4.304845599923283,4.304845599923283,4.32106849970296,6.902680999599397,l,2.586063399910927,None,p1,001,2025-10-16_09h54.31.793,delay discounting task,,2025.1.1,59.9117380528947,2025-10-16 09h54.39.551138 +0530,
67,75,119,2,2,0,l,0.9229212999343872,None,0,2,2,5,6.933178399689496,,6.912084199953824,6.933178399689496,7.917554100044072,7.917554100044072,7.934161799959838,8.850725699681789,l,0.9229212999343872,None,p1,001,2025-10-16_09h54.31.793,delay discounting task,,2025.1.1,59.9117380528947,2025-10-16 09h54.39.551138 +0530,
49,60,89,3,3,0,l,1.2236890001222491,None,0,3,3,4,8.8660508999601,,8.85758959967643,8.8660508999601,9.865259299986064,9.865259299986064,9.865259299986064,11.097844799980521,l,1.2236890001222491,None,p1,001,2025-10-16_09h54.31.793,delay discounting task,,2025.1.1,59.9117380528947,2025-10-16 09h54.39.551138 +0530,
27,50,21,4,4,0,l,1.7387424996122718,None,0,4,4,2,11.113872000016272,,11.104893499985337,11.113872000016272,12.11333359964192,12.11333359964192,12.11333359964192,13.862106199841946,l,1.7387424996122718,None,p1,001,2025-10-16_09h54.31.793,delay discounting task,,2025.1.1,59.9117380528947,2025-10-16 09h54.39.551138 +0530,
11,30,7,5,5,0,l,0.751307999715209,None,0,5,5,0,13.893485900014639,,13.871965199708939,13.893485900014639,14.877261999994516,14.877261999994516,14.893474099691957,15.643822399899364,l,0.751307999715209,None,p1,001,2025-10-16_09h54.31.793,delay discounting task,,2025.1.1,59.9117380528947,2025-10-16 09h54.39.551138 +0530,
15,35,13,6,6,0,l,2.6666930001229048,None,0,6,6,1,15.659401800017804,,15.650315499864519,15.659401800017804,16.65882349992171,16.65882349992171,16.65882349992171,19.33995629986748,l,2.6666930001229048,None,p1,001,2025-10-16_09h54.31.793,delay discounting task,,2025.1.1,59.9117380528947,2025-10-16 09h54.39.551138 +0530,
78,80,162,7,0,1,t,0.7935071000829339,None,1,0,7,6,19.35621459968388,,19.345077799633145,19.35621459968388,20.355038299690932,20.355038299690932,20.355038299690932,21.154678899794817,t,0.7935071000829339,None,p1,001,2025-10-16_09h54.31.793,delay discounting task,,2025.1.1,59.9117380528947,2025-10-16 09h54.39.551138 +0530,
11,30,7,8,1,1,l,0.9166700001806021,None,1,1,8,0,21.170870899688452,,21.15955889970064,21.170870899688452,22.169595999643207,22.169595999643207,22.169595999643207,23.087646999862045,l,0.9166700001806021,None,p1,001,2025-10-16_09h54.31.793,delay discounting task,,2025.1.1,59.9117380528947,2025-10-16 09h54.39.551138 +0530,
49,60,89,9,2,1,l,0.8949776999652386,None,1,2,9,4,23.10282849986106,,23.09207609994337,23.10282849986106,24.101337399799377,24.101337399799377,24.101337399799377,25.000603299587965,l,0.8949776999652386,None,p1,001,2025-10-16_09h54.31.793,delay discounting task,,2025.1.1,59.9117380528947,2025-10-16 09h54.39.551138 +0530,
67,75,119,10,3,1,l,0.9751506000757217,None,1,3,10,5,25.017363399732858,,25.00503270002082,25.017363399732858,26.016274499706924,26.016274499706924,26.032584599684924,26.99875899963081,l,0.9751506000757217,None,p1,001,2025-10-16_09h54.31.793,delay discounting task,,2025.1.1,59.9117380528947,2025-10-16 09h54.39.551138 +0530,
40,55,62,11,4,1,l,1.334779900033027,None,1,4,11,3,27.014814299996942,,27.005212699994445,27.014814299996942,27.99720529979095,27.99720529979095,28.01384469959885,29.347010099794716,l,1.334779900033027,None,p1,001,2025-10-16_09h54.31.793,delay discounting task,,2025.1.1,59.9117380528947,2025-10-16 09h54.39.551138 +0530,
27,50,21,12,5,1,l,0.7149005997925997,None,1,5,12,2,29.362519699614495,,29.353602999821305,29.362519699614495,30.361941799987108,30.361941799987108,30.361941799987108,31.07844749977812,l,0.7149005997925997,None,p1,001,2025-10-16_09h54.31.793,delay discounting task,,2025.1.1,59.9117380528947,2025-10-16 09h54.39.551138 +0530,
15,35,13,13,6,1,l,0.7265396001748741,None,1,6,13,1,31.09410039987415,,31.0848639998585,31.09410039987415,32.09365089982748,32.09365089982748,32.09365089982748,32.826400599908084,l,0.7265396001748741,None,p1,001,2025-10-16_09h54.31.793,delay discounting task,,2025.1.1,59.9117380528947,2025-10-16 09h54.39.551138 +0530,
49,60,89,14,0,2,l,0.7581761996261775,None,2,0,14,4,32.842439299914986,,32.832771599758416,32.842439299914986,33.84149869997054,33.84149869997054,33.858181399758905,34.60826799971983,l,0.7581761996261775,None,p1,001,2025-10-16_09h54.31.793,delay discounting task,,2025.1.1,59.9117380528947,2025-10-16 09h54.39.551138 +0530,
