trial,lag,T1_pos,T2_pos,thisN,thisTrialN,thisRepN,T1_target,T2_target,textbox1.text,textbox2.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instruction.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,trial.stopped,rsvp.started,stream_text.started,rsvp.stopped,trials.T1_target,trials.T2_target,response.started,text.started,textbox1.started,textbox2.started,text.stopped,button.started,response.stopped,trials.textbox1.text,trials.textbox2.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,fixation.stopped,thank_you.started,text_2.started,key_resp.started,thank_you.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,,,0.0332783,0.0519427,0.0519427,1.7936301,space,1.7166207,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
1,2,4,6,0,0,0,8,9,7,8,1,[3.5624953999649733],[3.5625063999323174],0,0,0,0,1.8317759,,,,,,,,,1.8102614,1.8317759,2.2998042,2.2999538,2.3156452,3.7154067,8,9,3.7171595,3.7308755,4.9637249,4.9637249,4.9952141,5.0807948,8.6437636,7,8,1,[3.5624953999649733],[3.5625063999323174],,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
2,3,4,7,1,1,0,9,7,8,9,1,[5.596889700042084],[5.596909000072628],0,1,1,1,8.6598298,,,,,,,,,8.6441694,8.6598298,9.1436731,9.1437839,9.1596542,10.5757987,9,7,10.5767814,10.5915903,11.8047091,11.8047091,11.8383477,11.9050286,17.5025371,8,9,1,[5.596889700042084],[5.596909000072628],9.1596542,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
3,5,4,9,2,2,0,1,9,1,9,1,[3.38153109990526],[3.3815463999053463],0,2,2,2,17.5177196,,,,,,,,,17.5030553,17.5177196,18.0010343,18.0011509,18.0170211,19.4324865,1,9,19.4343411,19.4487288,20.6464469,20.6464469,20.6799567,20.7795233,24.1616559,1,9,1,[3.38153109990526],[3.3815463999053463],18.0170211,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
4,8,4,12,3,3,0,9,8,9,8,1,[5.097328000003472],[5.097344999900088],0,3,3,3,24.1777832,,,,,,,,,24.1621678,24.1777832,24.6610639,24.6611807,24.6771013,26.0933869,9,8,26.0943949,26.1091395,27.3396988,27.3396988,27.3396988,27.4394006,32.5373599,9,8,1,[5.097328000003472],[5.097344999900088],24.6771013,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
5,2,5,7,4,4,0,1,7,1,7,1,[3.6975170000223443],[3.697532800026238],0,4,4,4,32.5529686,,,,,,,,,32.5378677,32.5529686,33.0361906,33.0363051,33.0525579,34.4678695,1,7,34.4688324,34.4842337,35.6975984,35.6975984,35.731013,35.798059,39.4963177,1,7,1,[3.6975170000223443],[3.697532800026238],33.0525579,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
6,3,5,8,5,5,0,7,7,7,8,1,[3.797233200049959],[3.7972485000500455],0,5,5,5,39.5120734,,,,,,,,,39.4968195,39.5120734,39.9957875,39.9959003,40.0118045,41.4276587,7,7,41.4286388,41.4439094,42.657309,42.657309,42.657309,42.7573908,46.5552576,7,8,1,[3.797233200049959],[3.7972485000500455],40.0118045,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
7,5,5,10,6,6,0,4,7,4,7,1,[4.062886399915442],[4.062901899917051],0,6,6,6,46.5721091,,,,,,,,,46.5558037,46.5721091,47.0556856,47.055804,47.0716237,48.4873334,4,7,48.4883168,48.5039316,49.7169465,49.7169465,49.7169465,49.8179157,53.8814289,4,7,1,[4.062886399915442],[4.062901899917051],47.0716237,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
8,8,5,13,7,7,0,3,4,3,4,1,[3.8172008999390528],[3.8172109000151977],0,7,7,7,53.8974935,,,,,,,,,53.8819605,53.8974935,54.3819904,54.3821172,54.3972806,55.8143013,3,4,55.8152914,55.8297225,57.043206,57.043206,57.077223,57.1430663,60.9607442,3,4,1,[3.8172008999390528],[3.8172109000151977],,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
1,2,4,6,8,0,1,9,2,9,6,1,[3.59854399994947],[3.5985596999526024],1,0,8,0,60.9744622,,,,,,,,,60.961106,60.9744622,61.4584505,61.4585667,61.4745973,62.8888707,9,2,62.8898236,62.9059308,64.103045,64.103045,64.1366236,64.2365779,67.835752,9,6,1,[3.59854399994947],[3.5985596999526024],61.4745973,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
