study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_words,reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
board ,0,0,0,1.04,1.7098261998035014,,,,,,,,,,,,0,0,0,4,,,,,0.07719979993999004,,0.03308979980647564,0.07719979993999004,0.07719979993999004,1.7747877999208868,1.04,1.7098261998035014,,,,,,,,,,,,,,,p2,001,2025-10-12_14h28.18.296,word_priming,,2025.1.1,60.160978782174794,2025-10-12 14h28.25.434967 +0530,
police,1,1,0,1.08,0.9896200001239777,,,,,,,,,,,,0,1,1,12,,,,,1.8059290000237525,,1.785708799958229,1.8059290000237525,1.8059290000237525,2.806663899682462,1.08,0.9896200001239777,,,,,,,,,,,,,,,p2,001,2025-10-12_14h28.18.296,word_priming,,2025.1.1,60.160978782174794,2025-10-12 14h28.25.434967 +0530,
pastry,2,2,0,1.08,0.6248744996264577,,,,,,,,,,,,0,2,2,9,,,,,2.8386379000730813,,2.8162197996862233,2.8386379000730813,2.8386379000730813,3.4738237001001835,1.08,0.6248744996264577,,,,,,,,,,,,,,,p2,001,2025-10-12_14h28.18.296,word_priming,,2025.1.1,60.160978782174794,2025-10-12 14h28.25.434967 +0530,
cushion,3,3,0,1.08,0.6720694000832736,,,,,,,,,,,,0,3,3,1,,,,,3.5042500998824835,,3.484894599765539,3.5042500998824835,3.5042500998824835,4.188918699976057,1.08,0.6720694000832736,,,,,,,,,,,,,,,p2,001,2025-10-12_14h28.18.296,word_priming,,2025.1.1,60.160978782174794,2025-10-12 14h28.25.434967 +0530,
phone,4,4,0,1.08,0.7110192999243736,,,,,,,,,,,,0,4,4,2,,,,,4.2206625998951495,,4.195445499848574,4.2206625998951495,4.2206625998951495,4.938381399959326,1.08,0.7110192999243736,,,,,,,,,,,,,,,p2,001,2025-10-12_14h28.18.296,word_priming,,2025.1.1,60.160978782174794,2025-10-12 14h28.25.434967 +0530,
laptop,5,5,0,1.08,0.8107237000949681,,,,,,,,,,,,0,5,5,5,,,,,4.969868300016969,,4.944712699856609,4.969868300016969,4.969868300016969,5.78689939994365,1.08,0.8107237000949681,,,,,,,,,,,,,,,p2,001,2025-10-12_14h28.18.296,word_priming,,2025.1.1,60.160978782174794,2025-10-12 14h28.25.434967 +0530,
case,6,6,0,1.08,0.7144164000637829,,,,,,,,,,,,0,6,6,10,,,,,5.819076099898666,,5.7908886997029185,5.819076099898666,5.819076099898666,6.536275600083172,1.08,0.7144164000637829,,,,,,,,,,,,,,,p2,001,2025-10-12_14h28.18.296,word_priming,,2025.1.1,60.160978782174794,2025-10-12 14h28.25.434967 +0530,
marble,7,7,0,1.08,0.7615038999356329,,,,,,,,,,,,0,7,7,3,,,,,6.568093900103122,,6.542571899946779,6.568093900103122,6.568093900103122,7.335666199680418,1.08,0.7615038999356329,,,,,,,,,,,,,,,p2,001,2025-10-12_14h28.18.296,word_priming,,2025.1.1,60.160978782174794,2025-10-12 14h28.25.434967 +0530,
chart,8,8,0,1.08,0.8952100998722017,,,,,,,,,,,,0,8,8,6,,,,,7.36758100008592,,7.34187120012939,7.36758100008592,7.36758100008592,8.26847040001303,1.08,0.8952100998722017,,,,,,,,,,,,,,,p2,001,2025-10-12_14h28.18.296,word_priming,,2025.1.1,60.160978782174794,2025-10-12 14h28.25.434967 +0530,
mouse,9,9,0,1.08,0.8605980002321303,,,,,,,,,,,,0,9,9,8,,,,,8.30059769982472,,8.27454169979319,8.30059769982472,8.30059769982472,9.167267499957234,1.08,0.8605980002321303,,,,,,,,,,,,,,,p2,001,2025-10-12_14h28.18.296,word_priming,,2025.1.1,60.160978782174794,2025-10-12 14h28.25.434967 +0530,
keys,10,10,0,1.08,0.9121269001625478,,,,,,,,,,,,0,10,10,13,,,,,9.19912499981001,,9.172957200091332,9.19912499981001,9.19912499981001,10.116561899892986,1.08,0.9121269001625478,,,,,,,,,,,,,,,p2,001,2025-10-12_14h28.18.296,word_priming,,2025.1.1,60.160978782174794,2025-10-12 14h28.25.434967 +0530,
book,11,11,0,1.08,0.7781584998592734,,,,,,,,,,,,0,11,11,0,,,,,10.148313299752772,,10.122261299751699,10.148313299752772,10.148313299752772,10.932647199835628,1.08,0.7781584998592734,,,,,,,,,,,,,,,p2,001,2025-10-12_14h28.18.296,word_priming,,2025.1.1,60.160978782174794,2025-10-12 14h28.25.434967 +0530,
