trial,lag,T1_pos,T2_pos,thisN,thisTrialN,thisRepN,T1_target,T2_target,textbox1.text,textbox2.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instruction.started,key_resp1.started,instructions.stopped,key_resp1.keys,key_resp1.rt,key_resp1.duration,trial.started,fixation.started,trial.stopped,rsvp.started,stream_text.started,rsvp.stopped,trials.T1_target,trials.T2_target,response.started,text.started,textbox1.started,textbox2.started,text.stopped,button.started,response.stopped,trials.textbox1.text,trials.textbox2.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,fixation.stopped,thank_you.started,text_2.started,key_resp.started,thank_you.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,,,0.0132268,0.0310558,0.0310558,6.908335,space,6.7839324,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p3,1,2025-11-19_19h57.32.102,untitled,,2025.1.1,60.19230235,2025-11-19 19h57.38.780898 +0530
1,2,4,6,0,0,0,5,5,5,6,1,[4.02984249999281],[4.029852400068194],0,0,0,0,6.9567281,,,,,,,,,6.9274828,6.9567281,7.4231807,7.42327,7.440429,8.8384926,5,5,8.8394733,8.8550067,10.0723101,10.0723101,10.0874681,10.155066,14.1852481,5,6,1,[4.02984249999281],[4.029852400068194],,,,,,,,,p3,1,2025-11-19_19h57.32.102,untitled,,2025.1.1,60.19230235,2025-11-19 19h57.38.780898 +0530
2,3,4,7,1,1,0,8,2,8,2,1,[3.813330499920994],[3.81333849998191],0,1,1,1,14.1997474,,,,,,,,,14.1855583,14.1997474,14.6833685,14.6834341,14.699747,16.1148448,8,2,16.1156897,16.1310417,17.3299106,17.3299106,17.3474114,17.4131574,21.226767,8,2,1,[3.813330499920994],[3.81333849998191],14.699747,,,,,,,,p3,1,2025-11-19_19h57.32.102,untitled,,2025.1.1,60.19230235,2025-11-19 19h57.38.780898 +0530
3,5,4,9,2,2,0,3,5,3,5,1,[3.763223599991761],[3.7632342000724748],0,2,2,2,21.243232,,,,,,,,,21.2270472,21.243232,21.7426158,21.7426927,21.7596953,23.1582392,3,5,23.1589778,23.1742463,24.3729493,24.3729493,24.3729493,24.4728941,28.2364339,3,5,1,[3.763223599991761],[3.7632342000724748],,,,,,,,,p3,1,2025-11-19_19h57.32.102,untitled,,2025.1.1,60.19230235,2025-11-19 19h57.38.780898 +0530
4,8,4,12,3,3,0,9,8,9,8,1,[2.6645936999702826],[2.664604200050235],0,3,3,3,28.2526367,,,,,,,,,28.236748,28.2526367,28.7363101,28.7363743,28.7525893,30.1677715,9,8,30.168315,30.1846646,31.3826692,31.3826692,31.3997696,31.4825597,34.1474761,9,8,1,[2.6645936999702826],[2.664604200050235],28.7525893,,,,,,,,p3,1,2025-11-19_19h57.32.102,untitled,,2025.1.1,60.19230235,2025-11-19 19h57.38.780898 +0530
5,2,5,7,4,4,0,8,9,8,9,1,[4.896218399982899],[4.896227899938822],0,4,4,4,34.1635092,,,,,,,,,34.147762,34.1635092,34.6471045,34.6471683,34.6626136,36.0786592,8,9,36.0792427,36.0946135,37.2935251,37.2935251,37.2935251,37.3935553,42.2901131,8,9,1,[4.896218399982899],[4.896227899938822],34.6626136,,,,,,,,p3,1,2025-11-19_19h57.32.102,untitled,,2025.1.1,60.19230235,2025-11-19 19h57.38.780898 +0530
6,3,5,8,5,5,0,7,4,7,6,1,[2.881726899999194],[2.8817364999558777],0,5,5,5,42.3057929,,,,,,,,,42.2904,42.3057929,42.7890255,42.7890913,42.8055256,44.2203972,7,4,44.2209708,44.2374442,45.4353918,45.4353918,45.4520946,45.5352524,48.4173193,7,6,1,[2.881726899999194],[2.8817364999558777],42.8055256,,,,,,,,p3,1,2025-11-19_19h57.32.102,untitled,,2025.1.1,60.19230235,2025-11-19 19h57.38.780898 +0530
7,5,5,10,6,6,0,9,9,9,8,1,[3.0152150999056175],[3.015223699971102],0,6,6,6,48.4329919,,,,,,,,,48.4176023,48.4329919,48.9157564,48.9158216,48.9326957,50.3479541,9,9,50.3485121,50.3639472,51.562582,51.562582,51.562582,51.6625426,54.6780851,9,8,1,[3.0152150999056175],[3.015223699971102],48.9326957,,,,,,,,p3,1,2025-11-19_19h57.32.102,untitled,,2025.1.1,60.19230235,2025-11-19 19h57.38.780898 +0530
8,8,5,13,7,7,0,4,8,4,6,1,[3.398073000018485],[3.3980827999766916],0,7,7,7,54.6936411,,,,,,,,,54.6783503,54.6936411,55.1926719,55.192748,55.2091047,56.6077691,4,8,56.608332,56.6241791,57.8230391,57.8230391,57.8230391,57.9229485,61.3213485,4,6,1,[3.398073000018485],[3.3980827999766916],,,,,,,,,p3,1,2025-11-19_19h57.32.102,untitled,,2025.1.1,60.19230235,2025-11-19 19h57.38.780898 +0530
1,2,4,6,8,0,1,2,3,2,3,1,[3.9305377000709996],[3.9305478000314906],1,0,8,0,61.3371842,,,,,,,,,61.321648,61.3371842,61.8361636,61.8362365,61.8522812,63.2511493,2,3,63.2517047,63.2679819,64.4499241,64.4499241,64.4830716,64.5663985,68.4972845,2,3,1,[3.9305377000709996],[3.9305478000314906],,,,,,,,,p3,1,2025-11-19_19h57.32.102,untitled,,2025.1.1,60.19230235,2025-11-19 19h57.38.780898 +0530
