delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon.stopped,polygon_2.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,responses.started,text.started,textbox.started,button.started,responses.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0.7,400,unexp,0,0,0,space,4.2415002,None,100,1,[5.024263300001621],[5.024279800010845],0,0,0,2,0.0509681,,0.0393991,0.0509681,1.0514139,1.0514139,1.0514139,5.2987224,space,4.2415002,None,5.3001339,6.013661467,6.3662495,6.3189167,6.3204062,6.3662495,6.3662495,6.3662495,11.3911192,300,1,[5.024263300001621],[5.024279800010845],participant 1,1,2025-11-11_12h36.49.344,intentional binding task,,2025.1.1,59.68934085,2025-11-11 12h37.13.436886 +0530
0.1,1000,exp,1,1,0,space,0.1604792,None,400,1,[4.995352099998854],[4.995368000003509],0,1,1,9,11.4079093,,11.39167,11.4079093,12.4239247,12.4068388,12.4068388,12.5740069,space,0.1604792,None,12.5753348,12.67323747,13.1228217,12.9767609,12.9774417,13.1228217,13.1228217,13.1228217,18.1188632,100,1,[4.995352099998854],[4.995368000003509],participant 1,1,2025-11-11_12h36.49.344,intentional binding task,,2025.1.1,59.68934085,2025-11-11 12h37.13.436886 +0530
0.7,1000,exp,2,2,0,space,3.1553637,None,400,1,[7.928233299986459],[7.928250199998729],0,2,2,5,18.1344997,,18.1193432,18.1344997,19.1505958,19.1335464,19.1335464,22.2977072,space,3.1553637,None,22.2987773,23.01270517,23.3450891,23.3141535,23.3148321,23.3450891,23.3450891,23.3450891,31.2739234,400,1,[7.928233299986459],[7.928250199998729],participant 1,1,2025-11-11_12h36.49.344,intentional binding task,,2025.1.1,59.68934085,2025-11-11 12h37.13.436886 +0530
0.7,1000,exp,3,3,0,space,1.4216727,None,200,1,[5.512428399990313],[5.5124480000231415],0,3,3,8,31.288277,,31.274423,31.288277,32.3039847,32.2873151,32.2873151,33.7202474,space,1.4216727,None,33.7213474,34.43565427,34.7667565,34.7365921,34.7372961,34.7667565,34.7667565,34.7667565,40.2797917,400,1,[5.512428399990313],[5.5124480000231415],participant 1,1,2025-11-11_12h36.49.344,intentional binding task,,2025.1.1,59.68934085,2025-11-11 12h37.13.436886 +0530
0.7,1000,exp,4,4,0,space,0.6698729,None,100,1,[4.446338299894705],[4.4463541998993605],0,4,4,11,40.2964527,,40.2802921,40.2964527,41.3116948,41.2947398,41.2947398,41.9783355,space,0.6698729,None,41.9794107,42.69385717,43.0252953,42.9956934,42.9963785,43.0252953,43.0252953,43.0252953,47.4722428,100,1,[4.446338299894705],[4.4463541998993605],participant 1,1,2025-11-11_12h36.49.344,intentional binding task,,2025.1.1,59.68934085,2025-11-11 12h37.13.436886 +0530
0.4,1000,exp,5,5,0,space,0.9505731,None,100,1,[2.499223499908112],[2.4992400999180973],0,5,5,7,47.4889703,,47.4727523,47.4889703,48.5042344,48.487664,48.487664,49.4542522,space,0.9505731,None,49.4553386,49.85344897,50.1849235,50.1494877,50.1504748,50.1849235,50.1849235,50.1849235,52.6847659,100,1,[2.499223499908112],[2.4992400999180973],participant 1,1,2025-11-11_12h36.49.344,intentional binding task,,2025.1.1,59.68934085,2025-11-11 12h37.13.436886 +0530
0.4,1000,exp,6,6,0,space,1.6493483,None,100,1,[2.4323484000051394],[2.4323650000151247],0,6,6,10,52.7008498,,52.6852547,52.7008498,53.7163769,53.6991877,53.6991877,55.3651355,space,1.6493483,None,55.3662022,55.78055317,56.1126082,56.0822924,56.0829728,56.1126082,56.1126082,56.1126082,58.5455448,100,1,[2.4323484000051394],[2.4323650000151247],participant 1,1,2025-11-11_12h36.49.344,intentional binding task,,2025.1.1,59.68934085,2025-11-11 12h37.13.436886 +0530
0.4,400,unexp,7,7,0,space,1.6962237,None,100,1,[4.6140006999485195],[4.614017599960789],0,7,7,1,58.5616398,,58.5460238,58.5616398,59.5607854,59.5607854,59.5607854,61.2604222,space,1.6962237,None,61.2614763,61.67457747,62.0065468,61.9694525,61.9753118,62.0065468,62.0065468,62.0065468,66.6211517,700,1,[4.6140006999485195],[4.614017599960789],participant 1,1,2025-11-11_12h36.49.344,intentional binding task,,2025.1.1,59.68934085,2025-11-11 12h37.13.436886 +0530
0.1,1000,exp,8,8,0,space,0.8451824,None,100,1,[2.2986563000595197],[2.2986726000672206],0,8,8,6,66.6367667,,66.6216327,66.6367667,67.6519767,67.6358293,67.6358293,68.4858302,space,0.8451824,None,68.4870778,68.60145887,68.9330775,68.9025325,68.9032176,68.9330775,68.9330775,68.9330775,71.2323191,400,1,[2.2986563000595197],[2.2986726000672206],participant 1,1,2025-11-11_12h36.49.344,intentional binding task,,2025.1.1,59.68934085,2025-11-11 12h37.13.436886 +0530
0.1,400,unexp,9,9,0,space,0.6330946,None,100,1,[3.5811714000301436],[3.5811872000340372],0,9,9,0,71.2491391,,71.2328179,71.2491391,72.2481844,72.2316809,72.2316809,72.8817342,space,0.6330946,None,72.8827949,72.99718267,73.3291377,73.2993546,73.3000526,73.3291377,73.3291377,73.3291377,76.9109129,400,1,[3.5811714000301436],[3.5811872000340372],participant 1,1,2025-11-11_12h36.49.344,intentional binding task,,2025.1.1,59.68934085,2025-11-11 12h37.13.436886 +0530
