thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,up,1,0.4783956000001126,None,0,0,0,0,0,0.041765099999793165,,0.026532200000019657,0.041765099999793165,1.02256159999979,1.0570193999997173,1.6248819999996158,up,1,0.4783956000001126,None,0,fin,001,2025-09-07_19h19.59.731,signal detection,,2025.1.1,60.09525097279052,2025-09-07 19h20.08.677252 +0530,
1,0,1,up,0,0.5977769999999509,None,1,1,0,1,0,1.6396263999999974,,1.62518799999998,1.6396263999999974,2.6392751999997017,2.6392751999997017,3.2387966999999662,up,0,0.5977769999999509,None,1,fin,001,2025-09-07_19h19.59.731,signal detection,,2025.1.1,60.09525097279052,2025-09-07 19h20.08.677252 +0530,
2,0,2,up,1,0.6445377000000008,None,0,2,0,2,0,3.2552928999998585,,3.2392219999996996,3.2552928999998585,4.253858399999899,4.27052249999997,4.903889599999729,up,1,0.6445377000000008,None,0,fin,001,2025-09-07_19h19.59.731,signal detection,,2025.1.1,60.09525097279052,2025-09-07 19h20.08.677252 +0530,
3,0,3,down,1,0.5679660000000695,None,-4,3,0,3,0,4.919689299999845,,4.904359099999965,4.919689299999845,5.918800399999782,5.918800399999782,6.502725899999859,down,1,0.5679660000000695,None,-4,fin,001,2025-09-07_19h19.59.731,signal detection,,2025.1.1,60.09525097279052,2025-09-07 19h20.08.677252 +0530,
4,0,4,down,0,0.5096371999998155,None,0,4,0,4,0,6.5184848999997484,,6.503138300000046,6.5184848999997484,7.517164299999877,7.517164299999877,8.033644599999661,down,0,0.5096371999998155,None,0,fin,001,2025-09-07_19h19.59.731,signal detection,,2025.1.1,60.09525097279052,2025-09-07 19h20.08.677252 +0530,
5,0,5,up,1,0.5998200000003635,None,0,5,0,5,0,8.050165899999683,,8.03406300000006,8.050165899999683,9.049050999999963,9.065692799999852,9.665448499999911,up,1,0.5998200000003635,None,0,fin,001,2025-09-07_19h19.59.731,signal detection,,2025.1.1,60.09525097279052,2025-09-07 19h20.08.677252 +0530,
6,0,6,up,1,0.6056928000002699,None,0,6,0,6,0,9.681607299999996,,9.665893800000049,9.681607299999996,10.680655399999978,10.680655399999978,11.297545399999763,up,1,0.6056928000002699,None,0,fin,001,2025-09-07_19h19.59.731,signal detection,,2025.1.1,60.09525097279052,2025-09-07 19h20.08.677252 +0530,
7,0,7,down,0,0.8172971999997571,None,0,7,0,7,0,11.313394099999641,,11.29796989999977,11.313394099999641,12.312415999999757,12.312415999999757,13.146016099999997,down,0,0.8172971999997571,None,0,fin,001,2025-09-07_19h19.59.731,signal detection,,2025.1.1,60.09525097279052,2025-09-07 19h20.08.677252 +0530,
8,0,8,up,1,0.5108693000001949,None,0,8,0,8,0,13.1618469,,13.146428900000046,13.1618469,14.16067669999984,14.16067669999984,14.676892799999678,up,1,0.5108693000001949,None,0,fin,001,2025-09-07_19h19.59.731,signal detection,,2025.1.1,60.09525097279052,2025-09-07 19h20.08.677252 +0530,
9,0,9,down,1,0.29474149999987276,None,2,9,0,9,0,14.693026799999643,,14.677357799999754,14.693026799999643,15.692861099999845,15.692861099999845,15.992569799999728,down,1,0.29474149999987276,None,2,fin,001,2025-09-07_19h19.59.731,signal detection,,2025.1.1,60.09525097279052,2025-09-07 19h20.08.677252 +0530,
10,0,10,up,1,0.2868526999995993,None,0,10,0,10,0,16.009018999999626,,15.99305269999968,16.009018999999626,17.00817049999978,17.00817049999978,17.30874509999967,up,1,0.2868526999995993,None,0,fin,001,2025-09-07_19h19.59.731,signal detection,,2025.1.1,60.09525097279052,2025-09-07 19h20.08.677252 +0530,
